epoch,F1,Precision,Recall
1,0.0000,   0.0000 , 0.0000
2,0.0000,   0.0000 , 0.0000
3,0.0000,   0.0000 , 0.0000
4,0.0000,   0.0000 , 0.0000
5,0.1314,   0.5577 , 0.0745
6,0.5136,   0.4608 , 0.5802
7,0.7175,   0.8962 , 0.5982
8,0.7333,   0.8574 , 0.6406
9,0.7315,   0.8867 , 0.6226
10,0.7566,   0.8583 , 0.6765
11,0.7667,   0.9353 , 0.6496
12,0.8175,   0.9062 , 0.7445
13,0.8014,   0.8802 , 0.7356
14,0.8033,   0.9624 , 0.6893
15,0.8202,   0.8737 , 0.7728
16,0.8411,   0.9246 , 0.7715
17,0.8276,   0.9396 , 0.7394
18,0.8362,   0.9392 , 0.7535
19,0.8385,   0.9352 , 0.7599
